Week,BENFICA_trend,SPORTING_trend,PORTO_trend,emprestimo,credito,preco,taxas,emprego,investimento,mercado_acoes,salario,financas,seguranca_social
2019-06-02,10,10,14,39,60,60,48,70,46,13,13,18,19
2019-06-09,11,13,13,48,55,60,69,66,62,12,11,16,14
2019-06-16,11,13,12,45,52,61,62,67,60,13,16,16,13
2019-06-23,7,8,14,34,58,62,69,68,73,0,17,21,14
2019-06-30,9,10,17,48,61,65,52,70,64,16,16,18,17
2019-07-07,18,11,17,45,58,61,44,79,67,19,14,15,15
2019-07-14,12,10,21,24,52,60,45,70,57,19,11,14,17
2019-07-21,12,12,30,45,51,65,41,68,61,12,17,11,13
2019-07-28,14,15,17,37,54,62,47,67,36,16,17,15,22
2019-08-04,32,22,33,22,52,62,40,61,46,19,15,12,18
2019-08-11,22,16,56,33,46,70,34,56,50,15,7,11,14
2019-08-18,34,17,66,42,57,67,42,68,55,13,14,10,12
2019-08-25,14,28,22,62,60,65,47,82,63,25,15,12,11
2019-09-01,21,17,24,27,59,63,49,79,54,15,13,12,13
2019-09-08,15,9,11,35,64,61,40,76,50,18,17,12,14
2019-09-15,25,20,35,38,55,59,48,86,68,14,17,11,15
2019-09-22,23,33,29,37,66,66,50,81,59,16,16,11,12
2019-09-29,18,24,29,34,67,57,57,78,61,0,17,14,15
2019-10-06,7,7,8,46,59,64,60,80,65,18,12,12,13
2019-10-13,13,16,13,36,54,62,49,82,67,13,13,12,14
2019-10-20,15,13,21,37,61,63,54,77,62,17,17,12,13
2019-10-27,28,19,34,40,61,56,55,72,66,20,20,12,13
2019-11-03,22,17,27,46,54,58,52,86,67,0,27,14,17
2019-11-10,7,12,23,68,59,62,53,75,53,0,40,14,19
2019-11-17,14,6,11,37,60,64,47,78,67,13,22,12,16
2019-11-24,21,11,27,22,63,70,50,68,72,12,20,14,16
2019-12-01,21,16,25,40,63,60,51,79,66,11,16,14,21
2019-12-08,22,16,31,29,58,59,41,68,63,18,17,13,15
2019-12-15,21,15,25,29,58,64,42,60,59,14,17,11,13
2019-12-22,8,7,16,25,55,77,29,49,44,15,14,10,8
2019-12-29,19,9,13,41,65,71,42,65,72,11,29,15,16
2020-01-05,22,33,51,55,64,67,64,90,74,12,23,17,18
2020-01-12,41,37,32,58,74,71,63,85,56,18,23,15,17
2020-01-19,11,15,41,56,68,67,63,97,68,20,28,16,15
2020-01-26,25,16,37,50,67,68,62,84,67,19,32,19,18
2020-02-02,43,14,70,45,66,71,66,100,56,17,26,20,18
2020-02-09,33,17,38,44,72,66,53,86,59,21,22,22,15
2020-02-16,20,14,51,39,68,68,57,83,73,19,22,20,14
2020-02-23,31,20,48,41,62,65,47,74,67,46,19,22,12
2020-03-01,31,17,47,40,62,61,55,81,65,47,17,14,19
2020-03-08,7,15,13,34,59,55,46,68,60,100,13,13,23
2020-03-15,3,3,6,37,56,44,34,47,57,76,13,13,43
2020-03-22,3,3,6,51,83,46,42,52,41,49,18,13,34
2020-03-29,4,4,8,74,78,48,44,54,40,41,26,44,51
2020-04-05,5,5,10,41,70,56,36,49,53,32,15,33,35
2020-04-12,5,4,9,45,73,59,42,51,55,44,12,34,31
2020-04-19,5,4,7,48,65,61,36,52,58,29,14,40,27
2020-04-26,4,4,9,55,66,63,38,58,83,38,19,42,25
2020-05-03,4,4,8,49,63,62,43,69,65,29,18,44,30
2020-05-10,4,4,7,46,69,66,46,66,82,31,14,41,24
2020-05-17,5,5,7,51,70,68,42,76,69,34,15,39,23
2020-05-24,5,5,8,54,70,65,45,70,76,27,15,35,22
2020-05-31,22,13,35,56,75,64,46,81,80,19,15,31,27
2020-06-07,17,12,34,54,66,73,34,72,57,39,13,20,18
2020-06-14,22,10,23,69,74,68,45,80,89,25,15,26,28
2020-06-21,20,11,27,79,83,62,44,75,73,21,19,24,35
2020-06-28,27,14,24,58,77,68,40,84,61,33,20,28,41
2020-07-05,22,14,47,52,79,63,41,81,58,24,22,20,37
2020-07-12,24,26,74,42,78,70,46,75,68,31,18,18,45
2020-07-19,24,18,33,50,84,67,43,76,67,22,21,17,33
2020-07-26,24,8,40,48,76,67,41,75,61,28,19,19,41
2020-08-02,14,6,16,48,81,69,34,87,68,23,18,19,26
2020-08-09,15,7,13,53,71,69,36,81,57,22,20,16,25
2020-08-16,15,9,13,48,72,72,35,78,56,21,24,15,26
2020-08-23,16,9,14,32,77,74,37,86,57,21,23,14,23
2020-08-30,21,10,14,39,76,72,37,93,64,28,21,17,37
2020-09-06,9,7,15,56,71,72,36,89,67,30,25,18,38
2020-09-13,24,9,25,55,71,70,30,90,68,24,26,16,36
2020-09-20,13,14,20,45,77,70,46,88,62,22,24,14,30
2020-09-27,10,17,22,49,82,67,42,90,57,22,32,17,35
2020-10-04,18,14,22,48,72,68,47,86,71,17,30,16,30
2020-10-11,8,18,28,55,74,71,43,88,59,19,31,16,32
2020-10-18,24,12,29,33,69,69,41,82,64,0,20,14,31
2020-10-25,28,13,33,34,67,62,41,80,68,19,23,17,31
2020-11-01,26,19,16,38,68,63,44,69,59,15,18,15,30
2020-11-08,20,9,18,41,77,61,38,75,75,28,20,16,33
2020-11-15,8,6,12,48,79,70,44,75,69,22,21,15,33
2020-11-22,14,18,20,44,70,70,44,73,73,21,27,16,27
2020-11-29,20,14,27,36,64,68,34,55,71,23,26,15,32
2020-12-06,22,11,18,37,59,65,38,58,76,25,33,14,29
2020-12-13,21,15,26,32,69,69,37,65,54,22,21,15,32
2020-12-20,25,10,45,22,55,77,29,48,47,30,24,11,21
2020-12-27,15,21,25,45,65,75,40,59,76,29,27,16,24
2021-01-03,28,20,29,53,75,65,52,81,76,28,41,18,46
2021-01-10,28,24,56,40,64,63,50,69,64,29,32,18,43
2021-01-17,13,26,25,30,68,62,38,85,81,33,26,17,48
2021-01-24,19,19,23,52,75,65,46,62,70,85,36,17,41
2021-01-31,31,46,36,51,73,62,49,67,82,40,32,20,54
2021-02-07,23,28,56,61,74,58,42,62,76,43,24,20,47
2021-02-14,23,30,30,45,74,61,42,58,87,39,23,21,43
2021-02-21,23,30,57,35,76,66,46,65,81,43,22,23,41
2021-02-28,23,24,38,47,80,69,41,69,87,33,24,16,43
2021-03-07,20,20,35,42,72,67,42,66,70,28,24,15,39
2021-03-14,8,20,28,46,75,68,39,72,79,19,21,13,41
2021-03-21,13,11,11,45,79,72,52,73,93,26,23,15,32
2021-03-28,6,10,17,41,84,70,47,69,68,32,26,34,33
2021-04-04,17,20,30,62,74,70,59,72,76,25,21,40,37
2021-04-11,14,37,26,57,71,66,53,77,62,20,22,49,35
2021-04-18,12,28,36,37,74,71,46,73,65,23,21,46,37
2021-04-25,18,44,53,47,71,65,47,82,72,15,24,43,32
2021-05-02,29,44,47,48,77,63,46,76,70,23,29,44,38
2021-05-09,36,100,45,43,72,66,45,71,67,25,25,37,35
2021-05-16,13,26,22,45,69,68,42,72,69,25,23,32,32
2021-05-23,16,11,15,46,82,70,47,71,81,19,29,29,36
2021-05-30,6,11,13,42,71,65,47,62,76,22,25,23,28
2021-06-06,7,10,9,27,67,72,46,61,74,16,25,18,26
2021-06-13,5,9,8,47,73,62,42,64,72,20,24,21,32
2021-06-20,5,9,10,47,75,64,43,64,65,19,23,20,29
2021-06-27,6,12,11,43,75,72,48,67,62,10,26,22,35
2021-07-04,10,11,11,49,72,71,46,69,62,15,24,19,38
2021-07-11,10,13,11,46,75,71,39,64,60,18,23,18,39
2021-07-18,12,10,12,42,70,71,36,67,64,20,23,16,33
2021-07-25,10,18,20,42,77,70,36,63,62,21,21,17,30
2021-08-01,28,20,14,56,68,73,31,65,47,13,23,15,30
2021-08-08,27,16,21,42,73,71,28,61,44,17,26,13,25
2021-08-15,26,18,21,37,63,74,26,61,57,20,19,12,28
2021-08-22,24,22,26,44,70,71,35,62,48,17,25,12,25
2021-08-29,21,13,14,46,69,71,32,75,59,17,29,16,35
2021-09-05,16,30,29,43,74,70,35,81,65,24,28,14,37
2021-09-12,25,35,27,30,69,63,29,78,64,21,27,12,35
2021-09-19,24,30,26,42,69,63,37,78,69,20,22,13,29
2021-09-26,33,31,32,40,69,64,36,79,57,20,34,18,31
2021-10-03,23,10,10,34,67,73,33,73,60,25,35,14,30
2021-10-10,16,14,12,41,75,75,53,77,75,18,34,14,32
2021-10-17,25,26,27,41,69,67,47,76,87,25,32,14,26
2021-10-24,29,28,25,30,66,66,42,72,74,22,40,15,25
2021-10-31,24,23,25,36,71,65,39,66,57,16,25,13,24
2021-11-07,21,16,16,39,72,65,44,76,78,13,39,16,29
2021-11-14,13,15,15,34,67,68,48,69,76,16,30,14,24
2021-11-21,30,30,28,35,68,65,41,65,62,16,26,14,22
2021-11-28,37,46,28,53,69,65,42,57,67,24,36,16,34
2021-12-05,25,29,30,32,59,66,39,61,81,23,32,15,36
2021-12-12,26,26,32,32,67,63,36,60,78,24,31,15,28
2021-12-19,31,18,50,35,51,64,34,45,61,26,29,12,25
2021-12-26,34,23,62,33,56,63,37,53,79,19,31,15,25
2022-01-02,10,20,29,62,76,68,53,80,90,18,46,19,46
2022-01-09,23,17,26,51,71,65,57,78,100,21,43,17,41
2022-01-16,12,26,27,44,75,64,50,76,74,24,37,16,46
2022-01-23,27,37,26,59,83,74,62,74,90,45,54,17,44
2022-01-30,20,27,26,62,90,63,49,71,85,18,53,20,50
2022-02-06,22,51,65,56,84,71,56,77,80,19,43,19,47
2022-02-13,21,33,33,49,85,79,54,81,90,27,39,20,40
2022-02-20,26,27,39,42,83,72,49,71,82,60,40,21,36
2022-02-27,22,37,51,38,84,84,51,72,72,47,37,16,35
2022-03-06,17,26,37,48,87,100,53,77,83,27,34,15,38
2022-03-13,24,24,37,52,80,96,54,79,84,24,37,15,32
2022-03-20,16,9,23,55,89,87,56,70,79,27,32,15,29
2022-03-27,17,8,14,59,84,85,69,74,77,28,38,32,32
2022-04-03,28,24,27,47,83,81,58,71,88,20,33,40,38
2022-04-10,23,14,39,40,70,78,51,59,62,16,27,38,29
2022-04-17,37,50,46,47,77,73,48,67,78,24,31,38,30
2022-04-24,18,23,51,52,77,81,72,63,84,26,33,39,41
2022-05-01,32,27,66,42,84,83,75,73,92,18,37,34,37
2022-05-08,14,13,39,52,74,75,52,61,75,36,32,27,37
2022-05-15,7,8,17,48,77,74,51,61,92,26,28,22,40
2022-05-22,7,8,22,54,74,74,65,67,89,26,35,20,38
2022-05-29,7,6,10,57,86,75,76,61,80,19,32,23,32
2022-06-05,8,8,10,46,75,78,67,61,58,21,35,17,33
2022-06-12,9,10,12,23,67,79,50,57,67,34,27,18,30
2022-06-19,12,10,13,46,75,81,55,69,83,19,40,18,33
2022-06-26,8,8,12,52,72,81,53,61,74,19,39,22,35
2022-07-03,12,8,12,38,81,79,43,63,48,19,33,17,36
2022-07-10,12,12,13,36,72,77,42,63,65,15,34,15,33
2022-07-17,19,14,18,43,79,85,71,61,61,16,30,15,32
2022-07-24,17,19,22,51,69,82,62,63,68,23,33,17,32
2022-07-31,31,11,24,48,77,83,49,64,53,17,35,17,31
2022-08-07,28,25,17,53,74,83,48,59,52,21,30,14,29
2022-08-14,22,31,57,51,71,88,43,58,62,10,34,12,30
2022-08-21,33,26,19,50,71,88,43,65,61,11,32,12,25
2022-08-28,49,25,57,44,81,81,61,69,58,18,39,15,33
2022-09-04,37,30,44,56,83,81,88,69,70,18,38,21,52
2022-09-11,34,39,53,39,79,79,62,74,69,21,39,16,58
2022-09-18,23,9,14,67,80,83,67,76,83,18,34,18,54
2022-09-25,22,16,26,66,84,82,79,71,80,22,50,23,47
2022-10-02,39,29,49,56,82,82,71,72,82,22,49,19,48
2022-10-09,43,24,37,67,82,83,83,74,80,15,47,23,55
2022-10-16,39,28,69,43,74,78,58,71,80,19,35,89,100
2022-10-23,41,33,46,52,80,74,80,70,74,24,37,100,66
2022-10-30,27,37,46,44,85,76,72,63,78,23,35,39,34
2022-11-06,34,12,31,39,80,77,66,71,75,25,33,18,34
2022-11-13,18,13,12,53,72,80,66,67,76,23,37,15,29
2022-11-20,21,8,20,49,66,72,63,60,59,19,35,13,29
2022-11-27,8,10,10,38,62,76,53,56,65,21,34,17,27
2022-12-04,9,9,13,34,72,71,52,56,54,14,39,13,31
2022-12-11,16,9,14,40,70,87,68,62,73,11,49,16,39
2022-12-18,8,13,18,45,69,88,54,53,63,23,44,18,64
2022-12-25,24,14,21,36,71,87,54,53,69,29,44,17,39
2023-01-01,19,10,24,53,87,81,70,77,81,20,62,20,51
2023-01-08,22,22,26,48,85,80,75,80,88,26,60,17,44
2023-01-15,40,40,34,60,89,79,65,67,73,18,62,16,39
2023-01-22,18,31,47,50,98,81,67,78,81,22,66,17,41
2023-01-29,27,21,31,46,94,81,100,72,75,19,69,19,42
2023-02-05,25,18,38,57,92,85,62,74,67,23,44,18,45
2023-02-12,26,36,58,53,92,75,57,66,64,13,38,22,36
2023-02-19,34,26,40,62,90,84,52,72,72,16,38,17,37
2023-02-26,25,22,55,52,96,79,68,74,67,21,42,24,38
2023-03-05,26,24,33,43,98,78,63,67,58,23,36,17,44
2023-03-12,35,41,51,53,98,81,80,75,83,26,39,18,37
2023-03-19,17,13,28,44,100,82,65,72,86,19,39,15,36
2023-03-26,17,16,14,57,85,75,60,70,87,13,53,47,48
2023-04-02,57,18,91,58,82,78,52,60,59,18,34,44,48
2023-04-09,42,31,38,59,85,76,59,62,78,17,34,51,48
2023-04-16,30,36,35,61,81,73,59,67,69,20,41,52,53
2023-04-23,44,16,34,71,80,75,54,59,66,14,37,41,35
2023-04-30,38,16,58,69,85,79,55,65,67,19,44,40,44
2023-05-07,30,26,42,54,83,77,55,64,73,19,36,39,49
2023-05-14,22,17,100,58,84,75,45,60,67,19,36,32,37
2023-05-21,100,60,75,58,81,74,51,57,80,19,33,24,35
2023-05-28,20,9,21,58,88,74,59,63,99,28,45,27,42
2023-06-04,17,11,37,61,83,73,53,57,73,17,34,19,51
2023-06-11,16,13,11,47,84,73,55,61,75,23,33,19,43
2023-06-18,15,11,10,49,82,76,49,61,65,26,36,18,42
2023-06-25,8,6,9,46,81,81,66,58,61,19,46,25,38
2023-07-02,11,9,12,50,91,82,53,64,69,21,38,18,57
2023-07-09,15,10,12,46,87,88,49,64,61,17,33,16,43
2023-07-16,28,14,19,43,83,82,45,62,66,18,33,16,37
2023-07-23,17,12,27,49,86,90,51,60,63,16,42,14,32
2023-07-30,15,17,16,54,83,80,54,63,56,26,41,15,41
2023-08-06,35,22,60,47,73,79,40,61,62,23,37,13,43
2023-08-13,45,23,44,50,70,83,38,54,60,28,39,12,36
2023-08-20,22,12,41,57,81,84,45,62,66,25,36,11,28
2023-08-27,27,26,44,56,81,85,44,67,62,19,43,15,29
2023-09-03,13,19,40,66,89,77,40,69,68,19,42,15,37
2023-09-10,20,12,22,60,89,80,65,71,65,13,39,13,31
2023-09-17,28,26,47,57,97,80,47,79,73,17,44,14,35
2023-09-24,48,32,78,55,95,81,51,72,74,25,46,14,29
2023-10-01,31,23,46,47,84,79,42,65,57,23,65,13,34
2023-10-08,11,20,26,51,89,80,56,71,86,20,63,14,34
2023-10-15,15,13,16,42,87,80,49,74,73,21,38,13,34
2023-10-22,28,18,26,42,79,73,57,68,77,21,40,13,30
2023-10-29,23,27,40,44,84,79,48,68,55,17,46,15,36
2023-11-05,26,35,37,56,79,81,45,70,86,17,44,14,45
2023-11-12,43,42,22,45,82,84,56,69,82,25,44,14,44
2023-11-19,17,9,16,51,73,82,50,66,67,22,41,15,39
2023-11-26,26,23,35,52,74,78,63,61,70,17,44,14,35
2023-12-03,31,34,41,49,76,81,52,55,73,22,44,13,44
2023-12-10,24,19,38,69,81,88,60,55,79,24,41,15,40
2023-12-17,37,44,63,46,69,89,46,50,63,28,46,15,33
2023-12-24,21,20,26,51,79,95,63,52,75,22,63,14,30
2023-12-31,18,19,22,51,82,86,81,72,85,29,100,19,55
2024-01-07,26,24,22,63,76,80,66,75,84,29,69,16,47
2024-01-14,32,21,39,63,74,79,61,77,85,29,57,16,40
2024-01-21,24,24,15,59,88,79,75,82,77,24,66,16,31
2024-01-28,20,32,31,64,86,70,71,79,91,19,80,19,26
2024-02-04,24,22,24,42,78,69,66,74,83,23,48,18,32
2024-02-11,29,33,37,41,73,71,59,62,66,23,40,18,24
2024-02-18,29,34,37,44,86,71,56,70,91,28,42,17,24
2024-02-25,41,52,39,58,76,69,55,69,95,26,47,22,23
2024-03-03,48,37,75,50,77,65,62,67,81,22,41,14,25
2024-03-10,34,31,47,52,76,65,55,74,75,21,34,13,21
2024-03-17,22,25,16,42,82,68,57,71,77,16,37,14,21
2024-03-24,19,22,23,51,68,68,55,65,75,17,37,16,18
2024-03-31,46,62,35,58,80,69,57,67,80,31,34,39,29
2024-04-07,25,29,45,55,93,61,65,73,95,28,41,32,28
2024-04-14,31,32,35,100,84,70,70,65,89,28,40,37,24
2024-04-21,30,38,59,50,74,68,55,59,73,28,40,32,19
2024-04-28,16,69,69,65,79,64,62,59,79,23,39,35,22
2024-05-05,31,41,19,52,75,62,64,63,95,25,34,30,25
2024-05-12,17,24,32,56,72,65,49,66,78,33,35,25,24
2024-05-19,8,16,17,53,83,72,65,63,76,29,35,27,24
2024-05-26,8,33,51,52,72,68,58,59,78,28,42,25,22