dates,cars_sold,cars_online,avg_buyprice,bookmarks,opportunity,contracts,year,quarter,month,week,day
2023-06-28,46,2544,14153,1765,2449,425,2023,2,6,26,28
2023-06-29,46,2567,14237,2355,2410,395,2023,2,6,26,29
2023-06-30,45,2583,14259,2197,2215,402,2023,2,6,26,30
2023-07-01,34,2649,14266,2088,1923,300,2023,3,7,26,1
2023-07-02,0,2680,14271,1959,1755,232,2023,3,7,27,2
2023-07-03,63,2607,14280,1986,2641,458,2023,3,7,27,3
2023-07-04,96,2599,14328,2096,2595,475,2023,3,7,27,4
2023-07-05,47,2626,14373,2000,2739,462,2023,3,7,27,5
2023-07-06,54,2615,14318,1794,2391,468,2023,3,7,27,6
2023-07-07,70,2641,14331,1745,2334,426,2023,3,7,27,7
2023-07-08,19,2725,14351,1716,1927,258,2023,3,7,27,8
2023-07-09,0,2758,14352,1888,1675,194,2023,3,7,28,9
2023-07-10,60,2706,14361,2151,2576,434,2023,3,7,28,10
2023-07-11,64,2701,14357,1816,2426,439,2023,3,7,28,11
2023-07-12,59,2716,14330,2080,2570,478,2023,3,7,28,12
2023-07-13,61,2742,14326,2267,2541,444,2023,3,7,28,13
2023-07-14,54,2754,14376,1930,2286,387,2023,3,7,28,14
2023-07-15,24,2799,14407,1773,1946,322,2023,3,7,28,15
2023-07-16,1,2831,14406,1743,1748,198,2023,3,7,29,16
2023-07-17,78,2749,14465,2148,2695,505,2023,3,7,29,17
2023-07-18,78,2726,14474,2347,2535,440,2023,3,7,29,18
2023-07-19,67,2753,14456,2060,2616,438,2023,3,7,29,19
2023-07-20,57,2780,14464,2068,2523,456,2023,3,7,29,20
2023-07-21,59,2817,14446,2237,2326,401,2023,3,7,29,21
2023-07-22,15,2885,14488,2381,2021,280,2023,3,7,29,22
2023-07-23,0,2902,14500,1999,1732,206,2023,3,7,30,23
2023-07-24,74,2823,14523,2128,2640,473,2023,3,7,30,24
2023-07-25,93,2777,14584,2414,2690,444,2023,3,7,30,25
2023-07-26,70,2776,14647,2148,2554,436,2023,3,7,30,26
2023-07-27,51,2808,14618,2206,2530,409,2023,3,7,30,27
2023-07-28,40,2861,14631,1926,2311,374,2023,3,7,30,28
2023-07-29,12,3007,14631,2056,2083,312,2023,3,7,30,29
2023-07-30,0,3050,14662,2145,1826,213,2023,3,7,31,30
2023-07-31,80,2966,14686,2067,2492,454,2023,3,7,31,31
2023-08-01,72,2948,14696,2055,2564,428,2023,3,8,31,1
2023-08-02,63,2947,14730,2089,2637,410,2023,3,8,31,2
2023-08-03,62,2956,14767,2127,2533,443,2023,3,8,31,3
2023-08-04,41,2989,14805,2090,2323,360,2023,3,8,31,4
2023-08-05,19,3053,14848,1808,2113,286,2023,3,8,31,5
2023-08-06,0,3083,14857,2058,1810,232,2023,3,8,32,6
2023-08-07,84,3000,14923,2450,2656,457,2023,3,8,32,7
2023-08-08,74,3000,14912,2233,2614,422,2023,3,8,32,8
2023-08-09,68,3011,14940,2205,2568,437,2023,3,8,32,9
2023-08-10,47,3045,14921,2031,2436,422,2023,3,8,32,10
2023-08-11,52,3068,14954,2069,2392,391,2023,3,8,32,11
2023-08-12,32,3118,14954,2087,2017,273,2023,3,8,32,12
2023-08-13,0,3156,14960,2175,1709,201,2023,3,8,33,13
2023-08-14,87,3068,14999,2705,2486,426,2023,3,8,33,14
2023-08-15,70,3097,15058,2490,2090,295,2023,3,8,33,15
2023-08-16,79,3045,15084,2896,2572,414,2023,3,8,33,16
2023-08-17,63,3039,15103,2414,2720,433,2023,3,8,33,17
2023-08-18,78,3057,15168,2420,2548,404,2023,3,8,33,18
2023-08-19,11,3131,15184,2660,2192,313,2023,3,8,33,19
2023-08-20,0,3176,15220,2378,1943,232,2023,3,8,34,20
2023-08-21,101,3077,15236,2521,2945,492,2023,3,8,34,21
2023-08-22,88,3078,15289,2740,2917,458,2023,3,8,34,22
2023-08-23,74,3087,15295,2845,2976,492,2023,3,8,34,23
2023-08-24,59,3103,15255,2635,2894,422,2023,3,8,34,24
2023-08-25,60,3108,15341,2924,2863,462,2023,3,8,34,25
2023-08-26,18,3184,15367,2549,2329,350,2023,3,8,34,26
2023-08-27,0,3221,15367,2484,2161,222,2023,3,8,35,27
2023-08-28,105,3124,15440,2718,3187,540,2023,3,8,35,28
2023-08-29,81,3113,15492,2664,3238,552,2023,3,8,35,29
2023-08-30,92,3098,15531,2956,3225,520,2023,3,8,35,30
2023-08-31,70,3128,15565,2754,2907,500,2023,3,8,35,31
2023-09-01,74,3146,15606,2598,2687,483,2023,3,9,35,1
2023-09-02,16,3201,15614,2410,2327,319,2023,3,9,35,2
2023-09-03,0,3249,15634,2637,1907,248,2023,3,9,36,3
2023-09-04,138,3111,15698,2478,2912,510,2023,3,9,36,4
2023-09-05,85,3074,15684,2664,2891,521,2023,3,9,36,5
2023-09-06,69,3090,15694,2599,2999,508,2023,3,9,36,6
2023-09-07,75,3082,15724,2796,2948,511,2023,3,9,36,7
2023-09-08,77,3078,15729,2635,2816,471,2023,3,9,36,8
2023-09-09,27,3163,15697,2404,2212,348,2023,3,9,36,9
2023-09-10,0,3223,15706,2789,2097,231,2023,3,9,37,10
2023-09-11,106,3104,15758,2725,3080,531,2023,3,9,37,11
2023-09-12,89,3081,15778,2952,3123,460,2023,3,9,37,12
2023-09-13,64,3098,15817,2967,2978,501,2023,3,9,37,13
2023-09-14,92,3097,15809,2521,3092,491,2023,3,9,37,14
2023-09-15,81,3154,15829,2810,2814,509,2023,3,9,37,15
2023-09-16,28,3227,15832,2636,2281,354,2023,3,9,37,16
2023-09-17,4,3258,15862,2823,2149,245,2023,3,9,38,17
2023-09-18,81,3165,15910,2700,3119,531,2023,3,9,38,18
2023-09-19,83,3152,15867,2677,2982,502,2023,3,9,38,19
2023-09-20,72,3203,15835,2884,3031,513,2023,3,9,38,20
2023-09-21,59,3241,15858,2797,2986,492,2023,3,9,38,21
2023-09-22,81,3285,15880,2522,2654,429,2023,3,9,38,22
2023-09-23,29,3346,15891,2432,2248,381,2023,3,9,38,23
2023-09-24,0,3385,15898,2863,2056,251,2023,3,9,39,24
2023-09-25,87,3300,15937,2802,2877,509,2023,3,9,39,25
2023-09-26,73,3297,15977,2519,2745,499,2023,3,9,39,26
2023-09-27,84,3309,15966,2557,2888,478,2023,3,9,39,27
2023-09-28,72,3331,15981,2767,2711,468,2023,3,9,39,28
2023-09-29,70,3367,15949,2459,2413,450,2023,3,9,39,29
2023-09-30,39,3450,15872,2306,2180,328,2023,3,9,39,30
2023-10-01,0,3496,15844,2354,1853,245,2023,4,10,40,1
2023-10-02,77,3409,15862,2623,2773,453,2023,4,10,40,2
2023-10-03,1,3489,15850,2990,2573,405,2023,4,10,40,3
2023-10-04,138,3371,15892,2751,2663,496,2023,4,10,40,4
2023-10-05,68,3389,15934,2709,2583,426,2023,4,10,40,5
2023-10-06,61,3425,15880,2466,2439,404,2023,4,10,40,6
2023-10-07,15,3498,15828,2525,2113,342,2023,4,10,40,7
2023-10-08,0,3530,15819,2556,1974,238,2023,4,10,41,8
2023-10-09,108,3427,15856,2503,2696,434,2023,4,10,41,9
2023-10-10,86,3419,15807,2207,2774,497,2023,4,10,41,10
2023-10-11,64,3442,15769,2568,2632,458,2023,4,10,41,11
2023-10-12,71,3457,15754,2508,2491,425,2023,4,10,41,12
2023-10-13,72,3501,15723,2459,2476,409,2023,4,10,41,13
2023-10-14,29,3603,15670,2379,2221,345,2023,4,10,41,14
2023-10-15,0,3659,15654,2179,2052,230,2023,4,10,42,15
2023-10-16,77,3584,15664,2634,2839,490,2023,4,10,42,16
2023-10-17,72,3612,15686,2549,2766,485,2023,4,10,42,17
2023-10-18,65,3654,15683,2633,2678,436,2023,4,10,42,18
2023-10-19,69,3694,15688,2716,2902,477,2023,4,10,42,19
2023-10-20,58,3738,15691,2679,2788,458,2023,4,10,42,20
2023-10-21,35,3810,15658,2537,2421,337,2023,4,10,42,21
2023-10-22,0,3836,15660,3354,2166,240,2023,4,10,43,22
2023-10-23,91,3774,15742,2783,3058,525,2023,4,10,43,23
2023-10-24,79,3807,15666,2845,2968,505,2023,4,10,43,24
2023-10-25,91,3805,15672,2862,2963,470,2023,4,10,43,25
2023-10-26,70,3832,15672,2607,2802,479,2023,4,10,43,26
2023-10-27,58,3849,15629,2622,2656,409,2023,4,10,43,27
2023-10-28,13,3933,15600,2765,2320,341,2023,4,10,43,28
2023-10-29,0,3954,15598,3341,2212,260,2023,4,10,44,29
2023-10-30,85,3873,15608,2880,2865,504,2023,4,10,44,30
2023-10-31,50,3896,15600,3103,2715,480,2023,4,10,44,31
2023-11-01,92,3870,15634,3343,2759,396,2023,4,11,44,1
2023-11-02,70,3888,15606,2880,3094,509,2023,4,11,44,2
2023-11-03,60,3913,15586,2719,2735,518,2023,4,11,44,3
2023-11-04,50,3947,15540,2885,2633,385,2023,4,11,44,4
2023-11-05,0,4001,15538,3314,2442,280,2023,4,11,45,5
2023-11-06,116,3898,15575,2921,3134,558,2023,4,11,45,6
2023-11-07,79,3909,15550,3194,3294,547,2023,4,11,45,7
2023-11-08,81,3898,15535,2813,3133,563,2023,4,11,45,8
2023-11-09,99,3910,15521,3433,3029,475,2023,4,11,45,9
2023-11-10,88,3944,15529,2744,2901,451,2023,4,11,45,10
2023-11-11,33,4044,15510,3098,2407,343,2023,4,11,45,11
2023-11-12,0,4064,15530,2997,2279,307,2023,4,11,46,12
2023-11-13,119,3962,15531,3147,3063,525,2023,4,11,46,13
2023-11-14,108,3946,15554,3009,3044,535,2023,4,11,46,14
2023-11-15,89,3925,15490,3136,3170,476,2023,4,11,46,15
2023-11-16,77,3965,15439,2962,2886,566,2023,4,11,46,16
2023-11-17,79,3992,15394,2931,2787,472,2023,4,11,46,17
2023-11-18,26,4069,15368,3003,2475,395,2023,4,11,46,18
2023-11-19,0,4088,15368,2775,2488,316,2023,4,11,47,19
2023-11-20,119,3990,15387,3042,3193,602,2023,4,11,47,20
2023-11-21,86,3985,15361,3017,3043,540,2023,4,11,47,21
2023-11-22,103,3971,15327,2815,2840,491,2023,4,11,47,22
2023-11-23,90,4012,15318,3063,3035,513,2023,4,11,47,23
2023-11-24,76,4036,15318,2957,2634,445,2023,4,11,47,24
2023-11-25,23,4110,15257,2874,2333,365,2023,4,11,47,25
2023-11-26,0,4160,15257,3126,2168,283,2023,4,11,48,26
2023-11-27,92,4063,15305,2922,2925,602,2023,4,11,48,27
2023-11-28,92,4072,15281,2911,3034,547,2023,4,11,48,28
2023-11-29,93,4082,15259,2982,2868,481,2023,4,11,48,29
2023-11-30,80,4079,15256,2898,2726,494,2023,4,11,48,30
2023-12-01,78,4111,15189,2628,2551,466,2023,4,12,48,1
2023-12-02,25,4191,15176,2668,2201,358,2023,4,12,48,2
2023-12-03,0,4214,15175,3184,2117,287,2023,4,12,49,3
2023-12-04,96,4117,15223,2841,2964,526,2023,4,12,49,4
2023-12-05,105,4104,15261,3061,2814,511,2023,4,12,49,5
2023-12-06,102,4084,15248,2854,2647,468,2023,4,12,49,6
2023-12-07,83,4111,15217,2770,2503,437,2023,4,12,49,7
2023-12-08,59,4152,15154,2567,2361,393,2023,4,12,49,8
2023-12-09,35,4214,15131,2781,2105,355,2023,4,12,49,9
2023-12-10,0,4219,15137,2954,1884,274,2023,4,12,50,10
2023-12-11,60,4163,15140,3333,2859,546,2023,4,12,50,11
2023-12-12,58,4187,15112,2971,2728,499,2023,4,12,50,12
2023-12-13,83,4201,15090,2694,2823,467,2023,4,12,50,13
2023-12-14,68,4219,15107,2759,2594,457,2023,4,12,50,14
2023-12-15,56,4241,15084,2633,2323,419,2023,4,12,50,15
2023-12-16,31,4281,15051,2640,2004,334,2023,4,12,50,16
2023-12-17,0,4312,15062,2585,1864,258,2023,4,12,51,17
2023-12-18,76,4252,15080,3028,2770,469,2023,4,12,51,18
2023-12-19,67,4275,15035,4003,2504,486,2023,4,12,51,19
2023-12-20,66,4287,14997,2585,2491,396,2023,4,12,51,20
2023-12-21,71,4303,14946,2854,2300,447,2023,4,12,51,21
2023-12-22,76,4324,14911,2580,2020,368,2023,4,12,51,22
2023-12-23,16,4406,14850,2406,1728,276,2023,4,12,51,23
2023-12-24,0,4424,14856,2089,1385,188,2023,4,12,52,24
2023-12-25,0,4425,14855,2336,1340,157,2023,4,12,52,25
2023-12-26,0,4425,14855,2294,1936,281,2023,4,12,52,26
2023-12-27,98,4328,14857,2827,2633,416,2023,4,12,52,27
2023-12-28,61,4315,14850,3126,2668,478,2023,4,12,52,28
2023-12-29,78,4293,14875,2528,2443,444,2023,4,12,52,29
2023-12-30,26,4314,14864,2467,1903,311,2023,4,12,52,30
2023-12-31,0,4338,14882,1936,1221,165,2023,4,12,53,31
2024-01-01,0,4337,14882,2111,1282,151,2024,1,1,1,1
2024-01-02,70,4276,14874,2567,2788,492,2024,1,1,1,2
2024-01-03,74,4242,14832,3120,3071,553,2024,1,1,1,3
2024-01-04,108,4162,14798,3556,3044,552,2024,1,1,1,4
2024-01-05,117,4097,14789,3151,2710,527,2024,1,1,1,5
2024-01-06,35,4102,14805,2939,2181,308,2024,1,1,1,6
2024-01-07,0,4126,14801,2946,2023,228,2024,1,1,1,7
2024-01-08,85,4059,14811,2670,2816,513,2024,1,1,2,8
2024-01-09,78,4024,14696,3006,2781,552,2024,1,1,2,9
2024-01-10,103,3958,14644,3203,2783,531,2024,1,1,2,10
2024-01-11,93,3973,14623,2938,2703,483,2024,1,1,2,11
2024-01-12,85,4035,14593,2553,2616,464,2024,1,1,2,12
2024-01-13,31,4077,14595,2997,2379,364,2024,1,1,2,13
2024-01-14,0,4142,14563,2997,2133,290,2024,1,1,2,14
2024-01-15,58,4099,14584,3207,3033,542,2024,1,1,3,15
2024-01-16,93,4075,14607,2868,2961,527,2024,1,1,3,16
2024-01-17,89,4056,14544,3301,2952,541,2024,1,1,3,17
2024-01-18,75,4096,14521,3134,2735,507,2024,1,1,3,18
2024-01-19,73,4148,14501,3086,2565,465,2024,1,1,3,19
2024-01-20,26,4243,14520,3455,2388,408,2024,1,1,3,20
2024-01-21,0,4278,14536,3088,2282,328,2024,1,1,3,21
2024-01-22,87,4190,14545,2881,3027,542,2024,1,1,4,22
2024-01-23,85,4164,14542,2869,3175,570,2024,1,1,4,23
2024-01-24,81,4164,14486,3107,3140,519,2024,1,1,4,24
2024-01-25,86,4152,14435,3085,2972,574,2024,1,1,4,25
2024-01-26,59,4249,14445,2803,2760,487,2024,1,1,4,26
2024-01-27,26,4327,14436,3205,2596,393,2024,1,1,4,27
2024-01-28,0,4373,14454,3026,2235,287,2024,1,1,4,28
2024-01-29,97,4281,14458,3184,3069,574,2024,1,1,5,29
2024-01-30,98,4275,14475,3184,3075,547,2024,1,1,5,30
2024-01-31,91,4316,14492,3452,3088,546,2024,1,1,5,31
2024-02-01,90,4316,14451,3209,2859,541,2024,1,2,5,1
2024-02-02,77,4326,14432,3038,2630,517,2024,1,2,5,2
2024-02-03,24,4398,14445,3503,2370,442,2024,1,2,5,3
2024-02-04,0,4430,14459,3385,2196,289,2024,1,2,5,4
2024-02-05,82,4342,14465,3195,3115,607,2024,1,2,6,5
2024-02-06,112,4263,14416,3217,2979,552,2024,1,2,6,6
2024-02-07,87,4229,14436,3000,2911,564,2024,1,2,6,7
2024-02-08,90,4283,14444,3205,2806,472,2024,1,2,6,8
2024-02-09,73,4341,14445,2999,2731,459,2024,1,2,6,9
2024-02-10,38,4392,14458,2993,2374,412,2024,1,2,6,10
2024-02-11,0,4428,14456,3229,2123,288,2024,1,2,6,11
2024-02-12,82,4359,14435,3675,3168,539,2024,1,2,7,12
2024-02-13,82,4335,14450,3242,3007,586,2024,1,2,7,13
2024-02-14,85,4334,14475,3065,2795,521,2024,1,2,7,14
2024-02-15,89,4333,14448,3529,2784,488,2024,1,2,7,15
2024-02-16,86,4352,14448,3082,2671,501,2024,1,2,7,16
2024-02-17,12,4457,14454,3366,2348,400,2024,1,2,7,17
2024-02-18,0,4491,14470,3270,2178,307,2024,1,2,7,18
2024-02-19,102,4411,14468,2843,3053,617,2024,1,2,8,19
2024-02-20,116,4366,14417,3187,3035,565,2024,1,2,8,20
2024-02-21,131,4334,14397,3086,2835,589,2024,1,2,8,21
2024-02-22,81,4396,14395,3521,2813,492,2024,1,2,8,22
2024-02-23,83,4392,14439,3102,2784,465,2024,1,2,8,23
2024-02-24,17,4495,14434,3373,2461,393,2024,1,2,8,24
2024-02-25,0,4530,14425,3298,2236,290,2024,1,2,8,25
2024-02-26,107,4428,14443,3283,3111,586,2024,1,2,9,26
2024-02-27,98,4407,14439,3386,3003,586,2024,1,2,9,27
2024-02-28,79,4419,14427,3499,2942,593,2024,1,2,9,28
2024-02-29,90,4438,14418,2986,2648,491,2024,1,2,9,29
2024-03-01,74,4486,14460,3175,2540,460,2024,1,3,9,1
2024-03-02,36,4557,14463,3168,2449,401,2024,1,3,9,2
2024-03-03,0,4585,14453,3376,2239,310,2024,1,3,9,3
2024-03-04,86,4503,14440,3376,3101,625,2024,1,3,10,4
2024-03-05,99,4482,14439,3208,2922,538,2024,1,3,10,5
2024-03-06,106,4454,14430,3555,2800,552,2024,1,3,10,6
2024-03-07,76,4494,14438,3320,2571,507,2024,1,3,10,7
2024-03-08,50,4512,14446,3083,2481,452,2024,1,3,10,8
2024-03-09,11,4552,14436,3072,2384,401,2024,1,3,10,9
2024-03-10,0,4589,14433,3743,2128,304,2024,1,3,10,10
2024-03-11,89,4536,14451,3113,3029,585,2024,1,3,11,11
2024-03-12,122,4514,14419,3346,2898,602,2024,1,3,11,12
2024-03-13,81,4541,14409,3392,3015,556,2024,1,3,11,13
2024-03-14,71,4582,14404,3332,2704,508,2024,1,3,11,14
2024-03-15,58,4601,14360,3208,2720,516,2024,1,3,11,15
2024-03-16,44,4624,14355,3133,2401,407,2024,1,3,11,16
2024-03-17,0,4647,14351,3439,2191,321,2024,1,3,11,17
2024-03-18,100,4564,14363,3487,3088,625,2024,1,3,12,18
2024-03-19,85,4544,14386,3040,3033,552,2024,1,3,12,19
2024-03-20,90,4537,14368,3036,2979,577,2024,1,3,12,20
2024-03-21,86,4534,14329,3416,2804,544,2024,1,3,12,21
2024-03-22,98,4542,14289,2944,2641,524,2024,1,3,12,22
2024-03-23,42,4598,14269,2459,2308,407,2024,1,3,12,23
2024-03-24,0,4629,14261,2915,2124,262,2024,1,3,12,24
2024-03-25,91,4554,14256,3066,3130,618,2024,1,3,13,25
2024-03-26,104,4537,14247,3016,2835,573,2024,1,3,13,26
2024-03-27,66,4596,14217,3092,2703,536,2024,1,3,13,27
2024-03-28,70,4610,14197,2998,2563,523,2024,1,3,13,28
2024-03-29,0,4667,14194,3434,2444,463,2024,1,3,13,29
2024-03-30,43,4613,14174,2489,2083,355,2024,1,3,13,30
2024-03-31,0,4645,14159,2656,1675,256,2024,1,3,13,31
2024-04-01,0,4645,14159,3055,2277,368,2024,2,4,14,1
2024-04-02,93,4556,14160,3246,3283,620,2024,2,4,14,2
2024-04-03,111,4489,14182,3285,3176,576,2024,2,4,14,3
2024-04-04,106,4445,14182,3314,3020,598,2024,2,4,14,4
2024-04-05,92,4461,14206,3124,2806,513,2024,2,4,14,5
2024-04-06,33,4532,14226,2808,2226,460,2024,2,4,14,6
2024-04-07,0,4564,14230,3096,2214,299,2024,2,4,14,7
2024-04-08,107,4453,14210,3001,3056,653,2024,2,4,15,8
2024-04-09,115,4382,14218,3290,3003,571,2024,2,4,15,9
2024-04-10,90,4376,14259,3096,2842,603,2024,2,4,15,10
2024-04-11,106,4372,14271,3192,2839,562,2024,2,4,15,11
2024-04-12,78,4453,14275,3124,2767,587,2024,2,4,15,12
2024-04-13,49,4494,14283,2546,2212,411,2024,2,4,15,13
2024-04-14,0,4519,14284,3286,2001,308,2024,2,4,15,14
2024-04-15,91,4444,14290,3348,3148,598,2024,2,4,16,15
2024-04-16,118,4379,14276,3350,3005,621,2024,2,4,16,16
2024-04-17,97,4344,14280,3495,3014,564,2024,2,4,16,17
2024-04-18,103,4331,14315,3261,2820,560,2024,2,4,16,18
2024-04-19,81,4382,14369,3339,2726,497,2024,2,4,16,19
2024-04-20,43,4450,14403,3595,2452,444,2024,2,4,16,20
2024-04-21,0,4480,14402,3659,2189,267,2024,2,4,16,21
2024-04-22,118,4387,14381,3510,3070,609,2024,2,4,17,22
2024-04-23,121,4380,14390,3207,3062,571,2024,2,4,17,23
2024-04-24,114,4358,14377,3521,2941,616,2024,2,4,17,24
